
[Iter 2 | Rank 10] Shapes: {'images': torch.Size([1, 109, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 14, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 2 | Rank 11] Shapes: {'images': torch.Size([1, 97, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 162, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 2 | Rank 12] Shapes: {'images': torch.Size([2, 57, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 57, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 2 | Rank 13] Shapes: {'images': torch.Size([1, 73, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 243, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 2 | Rank 14] Shapes: {'images': torch.Size([1, 125, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 204, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 2 | Rank 15] Shapes: {'images': torch.Size([2, 65, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 150, 4096]), 'clip_text_embed': torch.Size([2, 768])}

==================== Iteration 3 ====================
[Iter 3 | Rank 0] Shapes: {'images': torch.Size([1, 97, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 221, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 1] Shapes: {'images': torch.Size([5, 21, 3, 1280, 720]), 'first_ref_image': torch.Size([5, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([5, 121, 4096]), 'clip_text_embed': torch.Size([5, 768])}
[Iter 3 | Rank 2] Shapes: {'images': torch.Size([1, 89, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 72, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 3] Shapes: {'images': torch.Size([2, 49, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 81, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 3 | Rank 4] Shapes: {'images': torch.Size([1, 129, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 194, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 5] Shapes: {'images': torch.Size([1, 105, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 222, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 6] Shapes: {'images': torch.Size([6, 5, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 181, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 3 | Rank 7] Shapes: {'images': torch.Size([2, 65, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 59, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 3 | Rank 8] Shapes: {'images': torch.Size([3, 41, 3, 1280, 720]), 'first_ref_image': torch.Size([3, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([3, 85, 4096]), 'clip_text_embed': torch.Size([3, 768])}
[Iter 3 | Rank 9] Shapes: {'images': torch.Size([2, 53, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 18, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 3 | Rank 10] Shapes: {'images': torch.Size([1, 69, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 170, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 11] Shapes: {'images': torch.Size([6, 13, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 245, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 3 | Rank 12] Shapes: {'images': torch.Size([1, 113, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 212, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 13] Shapes: {'images': torch.Size([1, 77, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 60, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 14] Shapes: {'images': torch.Size([1, 121, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 243, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 3 | Rank 15] Shapes: {'images': torch.Size([4, 29, 3, 1280, 720]), 'first_ref_image': torch.Size([4, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([4, 186, 4096]), 'clip_text_embed': torch.Size([4, 768])}

==================== Iteration 4 ====================
[Iter 4 | Rank 0] Shapes: {'images': torch.Size([1, 125, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 105, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 4 | Rank 1] Shapes: {'images': torch.Size([1, 101, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 23, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 4 | Rank 2] Shapes: {'images': torch.Size([6, 13, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 105, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 4 | Rank 3] Shapes: {'images': torch.Size([1, 73, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 222, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 4 | Rank 4] Shapes: {'images': torch.Size([2, 49, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 21, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 4 | Rank 5] Shapes: {'images': torch.Size([5, 21, 3, 1280, 720]), 'first_ref_image': torch.Size([5, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([5, 3, 4096]), 'clip_text_embed': torch.Size([5, 768])}
[Iter 4 | Rank 6] Shapes: {'images': torch.Size([4, 29, 3, 1280, 720]), 'first_ref_image': torch.Size([4, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([4, 65, 4096]), 'clip_text_embed': torch.Size([4, 768])}
[Iter 4 | Rank 7] Shapes: {'images': torch.Size([1, 85, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 154, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 4 | Rank 8] Shapes: {'images': torch.Size([3, 37, 3, 1280, 720]), 'first_ref_image': torch.Size([3, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([3, 221, 4096]), 'clip_text_embed': torch.Size([3, 768])}
[Iter 4 | Rank 9] Shapes: {'images': torch.Size([6, 5, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 255, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 4 | Rank 10] Shapes: {'images': torch.Size([1, 93, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 231, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 4 | Rank 11] Shapes: {'images': torch.Size([2, 61, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 192, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 4 | Rank 12] Shapes: {'images': torch.Size([2, 53, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 241, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 4 | Rank 13] Shapes: {'images': torch.Size([1, 121, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 224, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 4 | Rank 14] Shapes: {'images': torch.Size([1, 77, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 244, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 4 | Rank 15] Shapes: {'images': torch.Size([1, 113, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 99, 4096]), 'clip_text_embed': torch.Size([1, 768])}

==================== Iteration 5 ====================
[Iter 5 | Rank 0] Shapes: {'images': torch.Size([1, 89, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 116, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 1] Shapes: {'images': torch.Size([1, 113, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 129, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 2] Shapes: {'images': torch.Size([1, 93, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 155, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 3] Shapes: {'images': torch.Size([1, 101, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 251, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 4] Shapes: {'images': torch.Size([4, 29, 3, 1280, 720]), 'first_ref_image': torch.Size([4, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([4, 144, 4096]), 'clip_text_embed': torch.Size([4, 768])}
[Iter 5 | Rank 5] Shapes: {'images': torch.Size([2, 61, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 128, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 5 | Rank 6] Shapes: {'images': torch.Size([5, 25, 3, 1280, 720]), 'first_ref_image': torch.Size([5, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([5, 254, 4096]), 'clip_text_embed': torch.Size([5, 768])}
[Iter 5 | Rank 7] Shapes: {'images': torch.Size([3, 41, 3, 1280, 720]), 'first_ref_image': torch.Size([3, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([3, 214, 4096]), 'clip_text_embed': torch.Size([3, 768])}
[Iter 5 | Rank 8] Shapes: {'images': torch.Size([6, 5, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 96, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 5 | Rank 9] Shapes: {'images': torch.Size([1, 121, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 52, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 10] Shapes: {'images': torch.Size([1, 125, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 57, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 11] Shapes: {'images': torch.Size([2, 53, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 54, 4096]), 'clip_text_embed': torch.Size([2, 768])}
